"Timestamp","How likely are you to purchase an expensive product (>= $1000) through installments?","Have you ever taken a loan for any of these?","What was the smallest loan you've taken or the smallest loan amount you would consider?","Do you understand the concept of credit score?","If you were aware of the factors that affect your credit score, would that help you in making decision about taking a loan?","What frustrates you the most when you try to understand your credit score?"
"2019/04/13 1:01:52 PM MDT","Maybe","","10000","Somewhat","Maybe","There are a lot factors that affect it which makes it confusing. "
"2019/04/13 1:02:23 PM MDT","Maybe","Education","30000","Somewhat","Yes, definitely",""
"2019/04/13 1:02:40 PM MDT","Maybe","Education","INR 43000","Somewhat","Yes, definitely","Who governs it "
"2019/04/13 1:03:26 PM MDT","Never","Education","","Don't know how it works","Maybe",""
"2019/04/13 1:04:20 PM MDT","Never","","","Somewhat","I don't think so",""
"2019/04/13 1:06:19 PM MDT","Never","Education","150","Don't know how it works","Yes, definitely","What is it about & for ?"
"2019/04/13 1:06:23 PM MDT","Maybe","Car","12000","Somewhat","Maybe","Too many numbers "
"2019/04/13 1:06:40 PM MDT","Never","Education","$35000","Somewhat","I don't think so","N"
"2019/04/13 1:07:59 PM MDT","Maybe","Education","15000","Somewhat","Yes, definitely","Credit score is very abstract and doesn't convey a lot of information. The frustrating thing is to get credit statement and understand what are the important factors that affect it.

-R"
"2019/04/13 1:09:04 PM MDT","Sometimes","Education;Car;House;Electronics","$1000","Don't know how it works","Yes, definitely","I don't know how it is calculated."
"2019/04/13 1:12:33 PM MDT","When it is necessary, like I needed a MAC for my course","Education","Lol. Um... 6000usd, but if you consider credit card debts than it could be less than a dollar","I'm a credit score genius","Yes, definitely","I am concerned about my data privacy. Research Tip - I would like to how my transaction(debt/credit) patterns over the years affect my credit rating. I am a super saiyan in debt management, so whenever I plan to take a loan, I do my own calculations of my potential earnings vs debt EMI. I keep track of it mentally now, used to keep an excel sheet. But anyways people want to see more information about their transaction patters(earnings vs expense vs credit vs debt) that they can help them take informed decisions about their finances. 

My credit score is just a number and a table of all my debts and EMIs. It’s just static info. I’d rather pay a small fee for the analysis too. It will save me time and efforts. Also if the paid service could recommend me ways to save tax from my debts. That is also one thing most are not aware of. ICICI bank has done this amazing thing where I can get my credit score on the dashboard with a single click.(very small fee) They already give the rest of the analysis. So it helps that way."
"2019/04/13 1:16:16 PM MDT","Definitely","Education","1000","I'm a credit score genius","Maybe","It’s variability "
"2019/04/13 1:17:47 PM MDT","Maybe","Education;Car;House","","Somewhat","I don't think so",""
"2019/04/13 1:18:27 PM MDT","Never","Education","$15,000","Somewhat","Maybe","I do nit own a credit card, so I do not have any credit score"
"2019/04/13 1:19:12 PM MDT","Maybe","Education","36000","Don't know how it works","Maybe","Multiple credit scores"
"2019/04/13 1:19:29 PM MDT","Never","Education","10000 dollars","Somewhat","Yes, definitely",""
"2019/04/13 1:21:49 PM MDT","Maybe","Education","500 USD","Somewhat","Yes, definitely","Reason for increase/decrease"
"2019/04/13 1:23:41 PM MDT","Sometimes","Electronics","1000","Somewhat","Maybe","I need to get more suggestions"
"2019/04/13 1:32:17 PM MDT","Definitely","Education","$40000","Somewhat","Yes, definitely",""
"2019/04/13 1:34:34 PM MDT","Maybe","Education","$500","Somewhat","Yes, definitely","Figuring out how to improve it."
"2019/04/13 1:49:18 PM MDT","Sometimes","Education","","Somewhat","Yes, definitely",""
"2019/04/13 1:50:22 PM MDT","Maybe","Education;Car;House","$5000","Somewhat","Yes, definitely","It irritates me that the credit score is never standardized. It is different when calculated by different organisations. Also, the credit score we get to know is never the accurate one but just a near approximation."
"2019/04/13 2:03:56 PM MDT","Sometimes","Education;Car;Electronics","$200","Somewhat","Yes, definitely","It goes down very fast but does not come up with that frequency "
"2019/04/13 2:07:17 PM MDT","Never","Education","","Somewhat","Yes, definitely",""
"2019/04/13 2:08:30 PM MDT","Maybe","Education","Phone ","Don't know how it works","Maybe","Everything"
"2019/04/13 2:10:22 PM MDT","Sometimes","Education","30000","Somewhat","Yes, definitely","How does it work for foreign nationals in US?"
"2019/04/13 2:17:11 PM MDT","Never","Education;Car;House","50000","I'm a credit score genius","Yes, definitely","Its impact"
"2019/04/13 2:22:33 PM MDT","Maybe","Education;Car;House","$45000","Somewhat","Yes, definitely","Small gaffus can ruin score and you will not know till you run FICO"
"2019/04/13 2:22:51 PM MDT","Maybe","Car;House","2000","Somewhat","Yes, definitely","Difference between 3 agencies that do credit score"
"2019/04/13 2:26:08 PM MDT","Never","Education","","Somewhat","Maybe",""
"2019/04/13 2:26:49 PM MDT","Maybe","Education","50000","Somewhat","Yes, definitely","N/A"
"2019/04/13 2:30:58 PM MDT","Sometimes","Education","60,000","Somewhat","Yes, definitely","When it drops down. "
"2019/04/13 2:44:17 PM MDT","Sometimes","Education;Car;House","5000","Somewhat","Yes, definitely","No transparency "
"2019/04/13 2:46:59 PM MDT","Maybe","Education","20,000 $","Somewhat","Maybe","no frustation"
"2019/04/13 2:47:53 PM MDT","Maybe","Car","5000","Somewhat","Maybe","How it differs, if only by a few points, from company to company. "
"2019/04/13 2:52:26 PM MDT","Sometimes","Education","4 lacs INR","Somewhat","Yes, definitely","Credit card logs"
"2019/04/13 3:00:08 PM MDT","Never","Education","5000","Somewhat","Yes, definitely","The complex calculations behind it"
"2019/04/13 3:14:11 PM MDT","Sometimes","Car","1500","I'm a credit score genius","Yes, definitely","Nothing"
"2019/04/13 3:55:08 PM MDT","Sometimes","Education;House","10000$","Somewhat","Yes, definitely","The vast spectrum of parameters that affect the credit score"
"2019/04/13 4:10:49 PM MDT","Maybe","House","50000","Somewhat","Maybe","Not sure"
"2019/04/13 4:40:12 PM MDT","Never","Education;House","30000","Somewhat","Yes, definitely",""
"2019/04/13 6:32:51 PM MDT","Maybe","House","","Somewhat","Yes, definitely",""
"2019/04/13 6:39:50 PM MDT","Sometimes","Car","Home loan ","Somewhat","Maybe","FICO"
"2019/04/13 7:28:48 PM MDT","Sometimes","Car;House","$800000","Somewhat","Yes, definitely","What contributes to a bad score"
"2019/04/13 8:17:22 PM MDT","Definitely","Education;Car;House","7000","Somewhat","I don't think so","How it works"
"2019/04/13 8:48:47 PM MDT","Sometimes","Education;Car;House","30000$","Somewhat","Yes, definitely",""
"2019/04/13 10:04:15 PM MDT","Maybe","Education","2000$","Somewhat","Yes, definitely","There is no easy method to check your credit score."
"2019/04/13 10:07:25 PM MDT","Maybe","Education;Car;House","32000","Somewhat","Yes, definitely","Nothing"
"2019/04/14 8:16:22 AM MDT","Sometimes","Education","$1500","I'm a credit score genius","Maybe",""
